Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
highly_dynamic+Day22,heat_day8,0.26496644,0.382033014,3.22629351,4.890760219,0.089661766,0.004836041,,8.556585061,7.32E-05
highly_dynamic+Day23,heat_day9,0.262321048,0.376020503,3.188387206,4.370172186,0.0896618,0.001722442,,8.357255645,7.55E-05
highly_dynamic+Day24,heat_day10,0.276904848,0.40122237,3.377261068,458.6851003,0.089661847,0.005560854,,8.188408805,7.50E-05
highly_dynamic+Day25,heat_day11,0.290504287,0.423876942,3.550882476,638.158186,0.089661892,0.005560854,,8.413758372,7.22E-05
highly_dynamic+Day26,heat_day12,0.295411069,0.434378742,3.619673904,901.4890906,0.089662087,0.00556086,,8.391601798,7.29E-05
highly_dynamic+Day27,heat_day13,0.291862383,0.42939191,3.576808318,901.490359,0.089662725,0.00556086,,8.339334548,7.59E-05
highly_dynamic+Day28,heat_day14,0.285593893,0.420582927,3.501088669,901.4891558,0.089663573,0.00556086,,8.368489824,7.76E-05
highly_dynamic+Day29,heat_day15,0.289600708,0.430449331,3.560868954,1039.135876,0.089664023,0.00556086,,8.048543479,7.71E-05
highly_dynamic+Day30,heat_day16,0.296475429,0.44337263,3.652507001,1279.16706,0.089665007,0.00556086,,7.307979935,7.53E-05
highly_dynamic+Day31,heat_day17,0.313380289,0.4722019,3.870412292,2274.952262,0.089666267,0.00556086,,7.124944505,7.49E-05
highly_dynamic+Day32,heat_day18,0.324602375,0.49002736,4.011404455,2274.842926,0.093682439,0.00556086,,7.287235319,7.47E-05
highly_dynamic+Day33,heat_day19,0.323469059,0.487865181,3.996278101,2274.451778,0.093682408,0.00556086,,7.318342521,7.43E-05
highly_dynamic+Day34,heat_day20,0.324305937,0.489041304,4.006387733,2274.451777,0.093682033,0.00556086,,7.343095737,7.25E-05
highly_dynamic+Day35,heat_day21,0.348907642,0.528990994,4.317966842,2607.036696,0.093681117,0.00556086,,7.369640364,7.28E-05
highly_dynamic+Day36,heat_day22,0.362688384,0.553349831,4.497826466,2852.09722,0.093680277,0.00556086,,7.322701439,7.17E-05
highly_dynamic+Day37,heat_day23,0.377947649,0.580134386,4.696601643,3588.339475,0.093679197,0.00556086,,7.112986354,7.54E-05
highly_dynamic+Day38,heat_day24,0.376138743,0.576471511,4.671770521,3334.381898,0.093677606,0.00556086,,7.223972875,7.19E-05
highly_dynamic+Day39,heat_day25,0.366477697,0.561004168,4.550022572,3154.79467,0.093675428,0.00556086,,7.103801113,7.30E-05
highly_dynamic+Day40,heat_day26,0.356343818,0.542578678,4.416585374,2890.868337,0.093670285,0.005560849,,7.090495774,7.10E-05
